"Symbol","Description","Category2","Category3","GICSSector","MarketCap","DividendYield","Country","Action"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$13,010,944,670","0.39%","USA","Analyze"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$12,996,553,810","0.96%","USA","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$12,992,169,884","4.34%","USA","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$12,978,187,547","1.51%","USA","Analyze"
"NLOK","NortonLifeLock Inc.","Common stocks","Large cap","Information Technology","$12,907,159,860","2.20%","USA","Analyze"
"WTRG","Essential Utilities, Inc.","Common stocks","Large cap","Utilities","$12,885,693,001","2.20%","USA","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$12,834,871,079","3.07%","USA","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$12,830,854,078","0.03%","USA","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$12,770,598,156","1.11%","USA","Analyze"
"ARES","Ares Management Corporation Class A","Common stocks","Large cap","Financials","$12,750,319,916","2.88%","USA","Analyze"
"U","Unity Software Inc.","Common stocks","Large cap","Information Technology","$12,737,513,406","0.00%","USA","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$12,703,641,875","0.51%","USA","Analyze"
"BAH","Booz Allen Hamilton Holding Corp","Common stocks","Large cap","Industrials","$12,663,772,565","1.72%","USA","Analyze"
"WLK","Westlake Chemical Corp","Common stocks","Large cap","Materials","$12,657,108,996","1.26%","USA","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$12,512,163,161","1.63%","USA","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$12,449,435,632","4.87%","USA","Analyze"
"AMH","American Homes 4 Rent Class A","REITs","Large cap","Real Estate","$12,365,459,694","1.57%","USA","Analyze"
"GLPI","Gaming and Leisure Properties, Inc","REITs","Large cap","Real Estate","$12,331,987,887","5.53%","USA","Analyze"
"AR","Antero Resources Corp","Common stocks","Large cap","Energy","$12,269,253,728","0.00%","USA","Analyze"
"DAR","Darling Ingredients Inc","Common stocks","Large cap","Consumer Staples","$12,197,869,296","0.00%","USA","Analyze"
"FCNCA","First Citizens Bancshares Inc Class A","Common stocks","Large cap","Financials","$12,177,374,972","0.23%","USA","Analyze"
"RGEN","Repligen Corp","Common stocks","Large cap","Health Care","$12,173,104,325","0.00%","USA","Analyze"
"CHK","Chesapeake Energy Corporation","Common stocks","Large cap","Energy","$12,144,127,365","6.79%","USA","Analyze"
"FHN","First Horizon National Corp","Common stocks","Large cap","Financials","$12,094,946,980","2.63%","USA","Analyze"
"TWLO","Twilio Inc Class A","Common stocks","Large cap","Information Technology","$12,058,761,595","0.00%","USA","Analyze"
"RPM","RPM International Inc","Common stocks","Large cap","Materials","$12,021,093,721","1.71%","USA","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$12,011,531,672","2.43%","USA","Analyze"
"RS","Reliance Steel & Aluminum","Common stocks","Large cap","Materials","$11,984,906,830","1.75%","USA","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$11,979,673,000","3.10%","USA","Analyze"
"NFE","New Fortress Energy LLC - Class A","Common stocks","Large cap","Energy","$11,903,350,880","0.69%","USA","Analyze"
"GDDY","GoDaddy Inc. Class A","Common stocks","Large cap","Information Technology","$11,855,793,555","0.00%","USA","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$11,829,854,572","0.00%","USA","Analyze"
"COIN","Coinbase Class A","Common stocks","Large cap","Financials","$11,812,490,425","0.00%","USA","Analyze"
"CG","Carlyle Group","Common stocks","Large cap","Financials","$11,753,899,583","3.50%","USA","Analyze"
"DOCU","Docusign Inc.","Common stocks","Large cap","Information Technology","$11,640,739,680","0.00%","USA","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$11,604,942,298","2.59%","USA","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$11,580,147,977","4.85%","USA","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$11,472,185,257","2.10%","USA","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$11,439,331,877","0.00%","USA","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Large cap","Consumer Staples","$11,430,236,428","1.21%","USA","Analyze"
"DINO","HF Sinclair Corporation","Common stocks","Large cap","Energy","$11,412,477,773","1.51%","USA","Analyze"
"FICO","Fair Isaac Corp","Common stocks","Large cap","Information Technology","$11,348,479,792","0.00%","USA","Analyze"
"WMS","Advanced Drainage Systems Inc","Common stocks","Large cap","Industrials","$11,340,607,905","0.34%","USA","Analyze"
"Y","Alleghany Corp","Common stocks","Large cap","Financials","$11,318,458,796","0.00%","USA","Analyze"
"DOX","Amdocs Ltd","Common stocks","Large cap","Information Technology","$11,205,987,256","1.75%","Guernsey","Analyze"
"EMN","Eastman Chemical","Common stocks","Large cap","Materials","$11,175,573,955","3.23%","USA","Analyze"
"EQH","AXA Equitable Holdings Inc","Common stocks","Large cap","Financials","$11,174,770,149","2.53%","USA","Analyze"
"HUBB","Hubbell Inc","Common stocks","Large cap","Industrials","$11,073,721,269","2.02%","USA","Analyze"
"RYAN","Ryan Specialty Group Holdings, Inc.","Common stocks","Large cap","Financials","$10,979,566,620","0.00%","USA","Analyze"
"CCK","Crown Holdings Inc","Common stocks","Large cap","Materials","$10,976,462,092","0.95%","USA","Analyze"
"DT","Dynatrace, Inc.","Common stocks","Large cap","Information Technology","$10,970,630,281","0.00%","USA","Analyze"
"HAS","Hasbro Inc","Common stocks","Large cap","Industrials","$10,884,353,586","3.46%","USA","Analyze"
"AFG","American Financial Group Inc","Common stocks","Large cap","Financials","$10,873,522,847","1.64%","USA","Analyze"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$10,808,020,719","4.07%","USA","Analyze"
"FNF","Fidelity National Financial Inc","Common stocks","Large cap","Financials","$10,804,002,090","4.33%","USA","Analyze"
"GGG","Graco Inc","Common stocks","Large cap","Industrials","$10,796,337,414","1.27%","USA","Analyze"
"WSO","Watsco Inc","Common stocks","Large cap","Industrials","$10,790,358,441","3.02%","USA","Analyze"
"LSI","Life Storage, Inc","REITs","Large cap","Real Estate","$10,737,954,984","3.06%","USA","Analyze"
"REXR","Rexford Industrial Realty, Inc","REITs","Large cap","Real Estate","$10,642,081,056","1.77%","USA","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$10,612,790,689","0.60%","USA","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$10,603,383,187","2.36%","USA","Analyze"
"SBNY","Signature Bank","Common stocks","Large cap","Financials","$10,571,897,869","1.28%","USA","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Large cap","Consumer Staples","$10,510,508,801","2.11%","USA","Analyze"
"CMA","Comerica Inc","Common stocks","Large cap","Financials","$10,504,827,531","3.34%","USA","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$10,486,524,340","4.00%","USA","Analyze"
"NLY","Annaly Capital Management Inc","Mortgage REITs","Large cap","Financials","$10,476,780,505","13.00%","USA","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$10,439,693,762","0.00%","USA","Analyze"
"CNA","CNA Financial Corp","Common stocks","Large cap","Utilities","$10,434,937,509","4.05%","USA","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$10,419,168,197","0.00%","USA","Analyze"
"WRK","Westrock","Common stocks","Large cap","Materials","$10,344,441,381","2.44%","USA","Analyze"
"CUBE","CubeSmart","REITs","Large cap","Real Estate","$10,335,362,302","3.49%","USA","Analyze"
"BKI","Black Knight","Common stocks","Large cap","Information Technology","$10,322,615,786","0.00%","USA","Analyze"
"QGEN","Qiagen Nv","Common stocks","Large cap","Health Care","$10,315,949,605","0.00%","The Netherlands","Analyze"
"UTHR","United Therapeutics Corp","Common stocks","Large cap","Health Care","$10,314,903,679","0.00%","USA","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Large cap","Communication Services","$10,311,980,573","9.71%","USA","Analyze"
"UHAL","Amerco","Common stocks","Large cap","Industrials","$10,307,225,918","0.00%","USA","Analyze"
"VST","Vistra Energy Corp","Common stocks","Large cap","Utilities","$10,304,617,925","2.60%","USA","Analyze"
"ALLY","Ally Financial Inc","Common stocks","Large cap","Financials","$10,243,190,522","3.42%","USA","Analyze"
"WSM","Williams Sonoma Inc","Common stocks","Large cap","Consumer Discretionary","$10,228,498,779","1.99%","USA","Analyze"
"ACM","AECOM","Common stocks","Large cap","Industrials","$10,215,375,921","0.61%","USA","Analyze"
"BSY","Bentley Systems, Inc Class B","Common stocks","Large cap","Information Technology","$10,177,004,064","0.24%","USA","Analyze"
"DELL","Dell Technologies Inc. Class C","Common stocks","Large cap","Information Technology","$10,173,149,487","1.72%","USA","Analyze"
"EWBC","East West Bancorp Inc","Common stocks","Large cap","Financials","$10,170,016,841","2.10%","USA","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Large cap","Consumer Discretionary","$10,138,339,825","2.94%","USA","Analyze"
"BJ","BJs Wholesale Club Holdings Inc","Common stocks","Large cap","Consumer Staples","$10,061,286,532","0.00%","USA","Analyze"
"NLSN","Nielsen Holdings Plc","Common stocks","Large cap","Industrials","$10,017,788,053","0.86%","USA","Analyze"
"NBIX","Neurocrine Biosciences Inc","Common stocks","Large cap","Health Care","$10,006,742,156","0.00%","USA","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Mid cap","Health Care","$9,992,183,357","0.00%","USA","Analyze"
"ERIE","Erie Indemnity Class A","Common stocks","Mid cap","Financials","$9,927,416,385","2.02%","USA","Analyze"
"NWS","News Corp Class B","Common stocks","Mid cap","Communication Services","$9,900,320,344","1.16%","USA","Analyze"
"NWSA","News Corp Class A","Common stocks","Mid cap","Communication Services","$9,900,320,344","1.18%","USA","Analyze"
"SCI","Service Corporation International","Common stocks","Mid cap","Consumer Discretionary","$9,730,121,226","1.55%","USA","Analyze"
"NRG","NRG Energy Inc","Common stocks","Mid cap","Utilities","$9,706,874,022","3.29%","USA","Analyze"
"JAZZ","Jazz Pharmaceuticals Plc","Common stocks","Mid cap","Health Care","$9,692,332,301","0.00%","USA","Analyze"
"MORN","Morningstar Inc","Common stocks","Mid cap","Financials","$9,685,854,431","0.61%","USA","Analyze"
"SRPT","Sarepta Therapeutics Inc","Common stocks","Mid cap","Health Care","$9,578,172,199","0.00%","USA","Analyze"
"ZEN","Zendesk Inc","Common stocks","Mid cap","Information Technology","$9,478,475,915","0.00%","USA","Analyze"
"GL","Globe Life Inc.","Common stocks","Mid cap","Financials","$9,469,951,403","0.83%","USA","Analyze"
"PHM","Pultegroup Inc","Common stocks","Mid cap","Consumer Discretionary","$9,412,720,878","1.44%","USA","Analyze"
"CCL","Carnival Corp","Common stocks","Mid cap","Consumer Discretionary","$9,409,069,129","0.00%","USA","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Mid cap","Financials","$9,356,929,589","1.11%","USA","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Mid cap","Information Technology","$9,354,838,033","0.00%","USA","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Mid cap","Information Technology","$9,265,656,916","0.00%","USA","Analyze"
"HR","Healthcare Realty Trust Incorporated","REITs","Mid cap","Real Estate","$9,254,956,641","4.87%","USA","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Mid cap","Consumer Discretionary","$9,245,657,504","0.00%","USA","Analyze"
"SNX","Synnex Corp","Common stocks","Mid cap","Information Technology","$9,228,263,541","1.14%","USA","Analyze"
"ARMK","Aramark","Common stocks","Mid cap","Consumer Discretionary","$9,203,063,071","1.23%","USA","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$9,198,367,764","2.03%","USA","Analyze"
"BURL","Burlington Stores Inc","Common stocks","Mid cap","Consumer Discretionary","$9,188,959,209","0.00%","USA","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Mid cap","Information Technology","$9,168,560,967","2.90%","USA","Analyze"
"BLDR","Builders Firstsource Inc","Common stocks","Mid cap","Industrials","$9,147,568,703","0.00%","USA","Analyze"
"RRX","Regal Rexnord Corporation","Common stocks","Mid cap","Industrials","$9,146,643,215","0.97%","USA","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Mid cap","Information Technology","$9,128,330,215","0.00%","USA","Analyze"
"ACC","American Campus Communities, Inc","REITs","Mid cap","Materials","$9,124,979,953","2.14%","USA","Analyze"
"MTN","Vail Resorts Inc","Common stocks","Mid cap","Communication Services","$9,043,571,313","2.46%","USA","Analyze"
"PATH","UiPath, Inc.","Common stocks","Mid cap","Information Technology","$8,960,845,216","0.00%","USA","Analyze"
"CLF","Cleveland-Cliffs Inc.","Common stocks","Mid cap","Materials","$8,933,729,224","0.00%","USA","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$8,928,536,730","1.80%","USA","Analyze"
"AA","Alcoa Corp","Common stocks","Mid cap","Materials","$8,902,697,906","0.81%","USA","Analyze"
"MANH","Manhattan Associates Inc","Common stocks","Mid cap","Information Technology","$8,859,649,071","0.00%","USA","Analyze"
"GLOB","Globant Sa","Common stocks","Mid cap","Information Technology","$8,829,344,361","0.00%","Argentina","Analyze"
"MPW","Medical Properties Trust, Inc","REITs","Mid cap","Real Estate","$8,751,390,000","7.61%","USA","Analyze"
"PAG","Penske Automotive Group Inc","Common stocks","Mid cap","Financials","$8,749,204,866","1.65%","USA","Analyze"
"GME","Gamestop Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$8,721,452,800","0.00%","USA","Analyze"
"TTC","Toro","Common stocks","Mid cap","Industrials","$8,672,099,236","1.40%","USA","Analyze"
"OLPX","Olaplex Holdings, Inc.","Common stocks","Mid cap","Consumer Staples","$8,645,849,802","0.00%","USA","Analyze"
"RRC","Range Resources Corp","Common stocks","Mid cap","Energy","$8,638,437,673","0.00%","USA","Analyze"
"FND","Floor Decor Holdings Inc","Common stocks","Mid cap","Consumer Discretionary","$8,627,198,308","0.00%","USA","Analyze"
"G","Genpact Ltd","Common stocks","Mid cap","Information Technology","$8,620,065,917","0.99%","USA","Analyze"
"NVCR","Novocure Ltd","Common stocks","Mid cap","Health Care","$8,602,179,658","0.00%","USA","Analyze"
"WSC","Willscot Corp","Common stocks","Mid cap","Industrials","$8,577,946,339","0.00%","USA","Analyze"
"PSTG","Pure Storage Inc Class A","Common stocks","Mid cap","Information Technology","$8,575,748,012","0.00%","USA","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Mid cap","Consumer Discretionary","$8,538,698,455","2.00%","USA","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Real Estate","$8,535,961,570","4.19%","USA","Analyze"
"DECK","Deckers Outdoor Corp","Common stocks","Mid cap","Consumer Discretionary","$8,531,588,462","0.00%","USA","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,517,836,918","4.43%","USA","Analyze"
"LII","Lennox International Inc","Common stocks","Mid cap","Industrials","$8,507,786,808","2.02%","USA","Analyze"
"AGL","agilon health, inc.","Common stocks","Mid cap","Health Care","$8,451,867,333","0.00%","USA","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Mid cap","Materials","$8,441,498,592","0.00%","USA","Analyze"
"RHI","Robert Half","Common stocks","Mid cap","Industrials","$8,433,439,031","2.15%","USA","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$8,433,145,602","1.71%","USA","Analyze"
"RGA","Reinsurance Group Of America Inc","Common stocks","Mid cap","Financials","$8,397,849,226","2.36%","USA","Analyze"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$8,377,522,291","2.85%","USA","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$8,353,397,984","1.61%","USA","Analyze"
"SWN","Southwestern Energy","Common stocks","Mid cap","Energy","$8,346,156,861","0.00%","USA","Analyze"
"CFR","Cullen Frost Bankers Inc","Common stocks","Mid cap","Financials","$8,334,072,151","2.38%","USA","Analyze"
"WAL","Western Alliance","Common stocks","Mid cap","Financials","$8,307,429,180","1.83%","USA","Analyze"
"BRKR","Bruker Corp","Common stocks","Mid cap","Health Care","$8,295,739,592","0.34%","USA","Analyze"
"UGI","UGI Corp","Common stocks","Mid cap","Utilities","$8,294,742,776","3.48%","USA","Analyze"
"JBL","Jabil Inc","Common stocks","Mid cap","Information Technology","$8,294,541,536","0.53%","USA","Analyze"
"AXON","Axon Enterprise, Inc.","Common stocks","Mid cap","Industrials","$8,293,358,521","0.00%","USA","Analyze"
"JLL","Jones Lang LaSalle Inc","Common stocks","Mid cap","Real Estate","$8,289,755,353","0.00%","USA","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$8,280,439,766","2.79%","USA","Analyze"
"WBS","Webster Financial Corp","Common stocks","Mid cap","Financials","$8,272,971,350","3.36%","USA","Analyze"
"CBSH","Commerce Bancshares Inc","Common stocks","Mid cap","Financials","$8,244,338,230","1.51%","USA","Analyze"
"LEA","Lear Corp","Common stocks","Mid cap","Consumer Discretionary","$8,231,469,393","2.20%","USA","Analyze"
"ROKU","Roku Class A","Common stocks","Mid cap","Communication Services","$8,209,917,100","0.00%","USA","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$8,193,571,794","2.11%","USA","Analyze"
"LAMR","Lamar Advertising Company Class A","REITs","Mid cap","Real Estate","$8,179,182,001","4.51%","USA","Analyze"
"OGE","OGE Energy Corp","Common stocks","Mid cap","Utilities","$8,116,216,323","3.98%","USA","Analyze"
"KNX","Knight Transportation Inc","Common stocks","Mid cap","Industrials","$8,115,189,150","0.87%","USA","Analyze"
"AGCO","AGCO Corp","Common stocks","Mid cap","Industrials","$8,109,556,951","0.79%","USA","Analyze"
"AVLR","Avalara Inc.","Common stocks","Mid cap","Information Technology","$8,084,251,525","0.00%","USA","Analyze"
"CHNG","Change Healthcare Inc.","Common stocks","Mid cap","Health Care","$8,066,540,336","0.00%","USA","Analyze"
"CAR","Avis Budget Group Inc","Common stocks","Mid cap","Industrials","$8,045,344,491","0.00%","USA","Analyze"
"Z","Zillow Group Inc Class C","Common stocks","Mid cap","Real Estate","$8,029,871,898","0.00%","USA","Analyze"
"ZG","Zillow Group Inc Class A","Common stocks","Mid cap","Real Estate","$8,029,871,898","0.00%","USA","Analyze"
"ESTC","Elastic N.V.","Common stocks","Mid cap","Information Technology","$7,970,327,200","0.00%","USA","Analyze"
"CASY","Caseys General Stores Inc","Common stocks","Mid cap","Consumer Staples","$7,962,889,532","0.67%","USA","Analyze"
"NNN","National Retail Properties, Inc","REITs","Mid cap","Real Estate","$7,952,316,273","4.68%","USA","Analyze"
"FBHS","Fortune Brands Home And Security","Common stocks","Mid cap","Industrials","$7,943,942,327","1.78%","USA","Analyze"
"OLN","Olin Corp","Common stocks","Mid cap","Materials","$7,933,598,807","1.46%","USA","Analyze"
"COLD","Americold Realty Trust","REITs","Mid cap","Real Estate","$7,924,738,570","0.75%","USA","Analyze"
"LECO","Lincoln Electric Holdings Inc","Common stocks","Mid cap","Industrials","$7,916,994,175","1.59%","USA","Analyze"
"OC","Owens Corning","Common stocks","Mid cap","Industrials","$7,865,572,932","1.59%","USA","Analyze"
"CLVT","Clarivate Plc","Common stocks","Mid cap","Industrials","$7,848,656,586","0.00%","USA","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$7,840,612,922","3.80%","USA","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$7,814,671,650","1.48%","USA","Analyze"
"MAT","Mattel Inc","Common stocks","Mid cap","Consumer Discretionary","$7,813,955,586","0.00%","USA","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$7,786,977,000","0.00%","USA","Analyze"
"PFGC","Performance Food Group","Common stocks","Mid cap","Consumer Staples","$7,760,623,708","0.00%","USA","Analyze"
"MIDD","Middleby Corp","Common stocks","Mid cap","Industrials","$7,749,551,145","0.00%","USA","Analyze"
"MASI","Masimo Corp","Common stocks","Mid cap","Health Care","$7,716,167,541","0.00%","USA","Analyze"
"OHI","Omega Healthcare Investors, Inc","REITs","Mid cap","Real Estate","$7,646,051,673","7.93%","USA","Analyze"
"STOR","STORE Capital Corporation","REITs","Mid cap","Real Estate","$7,626,916,709","5.60%","USA","Analyze"
"CIEN","Ciena Corp","Common stocks","Mid cap","Information Technology","$7,596,021,349","0.00%","USA","Analyze"
"UNM","Unum Group","Common stocks","Mid cap","Financials","$7,570,015,556","3.20%","USA","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$7,492,863,974","4.28%","USA","Analyze"
"TW","Tradeweb Markets Inc. - Class A","Common stocks","Mid cap","Financials","$7,479,942,807","0.46%","USA","Analyze"
"JEF","Jefferies Financial Group Inc","Common stocks","Mid cap","Financials","$7,459,413,465","3.54%","USA","Analyze"
"ACHC","Acadia Healthcare Company Inc","Common stocks","Mid cap","Health Care","$7,442,603,867","0.00%","USA","Analyze"
"CHDN","Churchill Downs Inc","Common stocks","Mid cap","Consumer Discretionary","$7,429,868,468","0.34%","USA","Analyze"
"NXST","Nexstar Media Group Inc","Common stocks","Mid cap","Communication Services","$7,422,053,348","0.47%","USA","Analyze"
"SEIC","SEI Investments","Common stocks","Mid cap","Financials","$7,411,250,105","1.46%","USA","Analyze"
"PCOR","Procore Technologies, Inc.","Common stocks","Mid cap","Information Technology","$7,401,788,394","0.00%","USA","Analyze"
"LSCC","Lattice Semiconductor Corp","Common stocks","Mid cap","Information Technology","$7,401,374,765","0.00%","USA","Analyze"
"APP","Applovin Corp","Common stocks","Mid cap","Information Technology","$7,391,711,714","0.00%","USA","Analyze"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$7,382,760,000","5.07%","USA","Analyze"
"BERY","Berry Global Group Inc","Common stocks","Mid cap","Materials","$7,350,849,000","0.00%","USA","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$7,318,466,084","1.85%","USA","Analyze"
"LAD","Lithia Motors Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$7,306,729,984","0.58%","USA","Analyze"
"CGNX","Cognex Corp","Common stocks","Mid cap","Information Technology","$7,301,746,070","0.62%","USA","Analyze"
"TTEK","Tetra Tech Inc","Common stocks","Mid cap","Industrials","$7,290,732,097","0.63%","USA","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$7,256,030,706","3.88%","USA","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$7,252,549,399","1.97%","USA","Analyze"
"DKNG","DraftKings Inc. - Class A","Common stocks","Mid cap","Consumer Discretionary","$7,203,646,094","0.00%","USA","Analyze"
"HRB","H&R Block Inc","Common stocks","Mid cap","Consumer Discretionary","$7,197,647,625","2.37%","USA","Analyze"
"EGP","EastGroup Properties, Inc","REITs","Mid cap","Real Estate","$7,189,699,620","2.52%","USA","Analyze"
"HOOD","Robinhood Markets, Inc.","Common stocks","Mid cap","Financials","$7,185,220,758","0.00%","USA","Analyze"
"ELAN","Elanco Animal Health Incorporated","Common stocks","Mid cap","Health Care","$7,173,339,479","0.00%","USA","Analyze"
"CHE","Chemed Corp","Common stocks","Mid cap","Health Care","$7,097,586,236","0.31%","USA","Analyze"
"FIVE","Five Below Inc","Common stocks","Mid cap","Consumer Discretionary","$7,096,079,103","0.00%","USA","Analyze"
"STWD","Starwood Property Trust Inc","Mortgage REITs","Mid cap","Financials","$7,090,443,813","8.12%","USA","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$7,060,347,490","1.43%","USA","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$7,011,584,871","0.00%","USA","Analyze"
"RUN","Sunrun Inc","Common stocks","Mid cap","Industrials","$7,005,801,858","0.00%","USA","Analyze"
"AN","AutoNation Inc","Common stocks","Mid cap","Consumer Discretionary","$6,975,554,816","0.00%","USA","Analyze"
"NOV","National Oilwell Varco Inc","Common stocks","Mid cap","Energy","$6,940,807,364","0.85%","USA","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$6,890,877,615","0.00%","USA","Analyze"
"FIVN","Five9 Incinary","Common stocks","Mid cap","Information Technology","$6,877,804,349","0.00%","USA","Analyze"
"USFD","US Foods Holding Corp","Common stocks","Mid cap","Consumer Staples","$6,875,474,417","0.00%","USA","Analyze"
"CACC","Credit Acceptance Corp","Common stocks","Mid cap","Financials","$6,875,370,687","0.00%","USA","Analyze"
"GPK","Graphic Packaging Holding","Common stocks","Mid cap","Materials","$6,855,330,273","1.34%","USA","Analyze"
"WEX","Wex Inc","Common stocks","Mid cap","Information Technology","$6,813,860,015","0.00%","USA","Analyze"
"PPC","Pilgrims Pride Corp","Common stocks","Mid cap","Consumer Staples","$6,805,638,737","0.00%","USA","Analyze"
"PII","Polaris Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$6,745,864,738","2.24%","USA","Analyze"
"KBR","KBR, Inc.","Common stocks","Mid cap","Industrials","$6,740,749,159","0.95%","USA","Analyze"
"CPRI","Capri Holdings Limited","Common stocks","Mid cap","Consumer Discretionary","$6,737,748,719","0.00%","USA","Analyze"
"ORI","Old Republic International Corp","Common stocks","Mid cap","Financials","$6,733,342,325","4.01%","USA","Analyze"
"ARW","Arrow Electronics Inc","Common stocks","Mid cap","Information Technology","$6,725,902,851","0.00%","USA","Analyze"
"ATR","Aptargroup Inc","Common stocks","Mid cap","Materials","$6,717,296,970","1.47%","USA","Analyze"
"FR","First Industrial Realty Trust, Inc","REITs","Mid cap","Consumer Discretionary","$6,693,382,252","2.21%","USA","Analyze"
"WCC","Wesco International Inc","Common stocks","Mid cap","Industrials","$6,678,240,084","0.00%","USA","Analyze"
"CABO","Cable One Inc","Common stocks","Mid cap","Communication Services","$6,673,053,170","0.97%","USA","Analyze"
"HTZ","Hertz Global Holdings, Inc","Common stocks","Mid cap","Industrials","$6,651,619,455","0.00%","USA","Analyze"
"BEPC","Brookfield Renewable Corporation Class A","Common stocks","Mid cap","Utilities","$6,611,601,428","3.69%","Canada","Analyze"
"CACI","CACI International Inc","Common stocks","Mid cap","Industrials","$6,577,267,888","0.00%","USA","Analyze"
"CNXC","Concentrix Corporation","Common stocks","Mid cap","Information Technology","$6,546,162,744","0.79%","USA","Analyze"
"PDCE","PDC Energy Inc","Common stocks","Mid cap","Energy","$6,540,215,704","1.23%","USA","Analyze"
"PB","Prosperity Bancshares Inc","Common stocks","Mid cap","Financials","$6,533,880,006","2.86%","USA","Analyze"
"NFG","National Fuel Gas","Common stocks","Mid cap","Utilities","$6,519,484,613","2.56%","USA","Analyze"
"BRX","Brixmor Property Group Inc","REITs","Mid cap","Real Estate","$6,436,890,464","4.29%","USA","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Mid cap","Health Care","$6,429,768,793","0.82%","USA","Analyze"
"GNTX","Gentex Corp","Common stocks","Mid cap","Consumer Discretionary","$6,416,686,702","1.75%","USA","Analyze"
"CHH","Choice Hotels International Inc","Common stocks","Mid cap","Consumer Discretionary","$6,398,519,097","0.82%","USA","Analyze"
"CLH","Clean Harbors Inc","Common stocks","Mid cap","Industrials","$6,352,800,797","0.00%","USA","Analyze"
"IBKR","Interactive Brokers Group Inc","Common stocks","Mid cap","Financials","$6,334,163,069","0.65%","USA","Analyze"
